Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
2C|TAS4||EHZ|-43.6241|170.205002|904.0|0.0|0.0|-90.0|Mark Products L28/Reftek 130 Datalogger|602382980.0|10.0|M/S|250.0|2016-04-21T00:00:00|2016-08-20T23:59:59|2C.TAS4..EHZ.M|2016-04-21|2016-08-21|10540799.0
2C|TAS5||EHZ|-43.612801|170.205994|969.0|0.0|0.0|-90.0|Mark Products L28/Reftek 130 Datalogger|602382980.0|10.0|M/S|250.0|2016-04-21T00:00:00|2016-08-20T23:59:59|2C.TAS5..EHZ.M|2016-04-21|2016-08-21|10540799.0
2C|TAS6||EHZ|-43.648102|170.200897|816.0|0.0|0.0|-90.0|Mark Products L28/Reftek 130 Datalogger|602382980.0|10.0|M/S|250.0|2016-04-21T00:00:00|2016-08-20T23:59:59|2C.TAS6..EHZ.M|2016-04-21|2016-08-21|10540799.0
2C|TAS7||EHZ|-43.633499|170.208099|857.0|0.0|0.0|-90.0|Mark Products L28/Reftek 130 Datalogger|602382980.0|10.0|M/S|250.0|2016-04-21T00:00:00|2016-08-20T23:59:59|2C.TAS7..EHZ.M|2016-04-21|2016-08-21|10540799.0
2H|CONZ||HHZ|-77.53289000000002|167.082352|3433.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/PASSCAL 3-ch|504484000.0|0.6|M/S|200.0|2016-12-18T00:00:00|2018-12-31T23:59:59|2H.CONZ..HHZ.M|2016-12-18|2018-10-12|57283200.0
2H|ELHT||HHZ|-77.510521|167.144073|3374.6|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/PASSCAL 3-ch|504484000.0|0.6|M/S|200.0|2016-12-18T00:00:00|2018-12-31T23:59:59|2H.ELHT..HHZ.M|2016-12-18|2018-10-12|57283200.0
2H|ICEZ||HHZ|-77.55169699999998|167.281998|2370.1|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/PASSCAL 3-ch|504484000.0|0.6|M/S|200.0|2017-01-01T00:00:00|2018-12-31T23:59:59|2H.ICEZ..HHZ.M|2017-01-01|2018-10-12|56073600.0
2H|NAUS||HHZ|-77.521889|167.150421|3590.1|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/PASSCAL 3-ch|504484000.0|0.6|M/S|200.0|2016-12-18T00:00:00|2018-12-31T23:59:59|2H.NAUS..HHZ.M|2016-12-18|2018-10-12|57283200.0
3C|DUN1||HHZ|32.553799|-109.090103|1257.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630892990.0|0.5|M/S|200.0|2014-07-09T00:00:00|2014-10-15T23:59:59|3C.DUN1..HHZ.M|2014-07-09|2014-10-16|8553599.0
3C|DUN2||HHZ|32.5504|-109.172302|1394.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630892990.0|0.5|M/S|200.0|2014-07-02T00:00:00|2014-10-15T23:59:59|3C.DUN2..HHZ.M|2014-07-02|2014-10-16|9158399.0
3C|DUN3||EHZ|32.598|-109.005798|1241.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1768729980.0|8.0|M/S|250.0|2014-07-08T00:00:00|2014-08-06T23:59:59|3C.DUN3..EHZ.M|2014-07-08|2014-08-07|2591999.0
3C|DUN3||EHZ|32.598|-109.005798|1241.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1768729980.0|8.0|M/S|250.0|2014-08-19T00:00:00|2014-08-28T23:59:59|3C.DUN3..EHZ.M|2014-08-19|2014-08-29|863999.0
3C|DUN4||EHZ|32.5774|-109.138496|1313.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1768729980.0|8.0|M/S|250.0|2014-07-08T00:00:00|2014-08-28T23:59:59|3C.DUN4..EHZ.M|2014-07-08|2014-08-29|4492799.0
3C|DUN5||EHZ|32.489201|-109.146004|1364.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1768729980.0|8.0|M/S|250.0|2014-07-23T00:00:00|2014-08-28T23:59:59|3C.DUN5..EHZ.M|2014-07-23|2014-08-29|3196799.0
3C|E000||DHZ|66.683098|13.8198|975.5|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|612044990.0|20.0|M/S|500.0|2010-03-04T00:00:00|2010-03-21T23:59:59|3C.E000..DHZ.M|2010-03-04|2010-03-22|1555199.0
3C|E001||DHZ|66.679802|13.8165|969.1|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|612044990.0|20.0|M/S|500.0|2010-03-04T00:00:00|2010-03-25T23:59:59|3C.E001..DHZ.M|2010-03-04|2010-03-26|1900799.0000000002
3C|E002||DHZ|66.6754|13.8156|952.2|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|612044990.0|20.0|M/S|500.0|2010-03-02T00:00:00|2010-03-24T23:59:59|3C.E002..DHZ.M|2010-03-02|2010-03-25|1987199.0000000002
3C|E003||DHZ|66.6726|13.8182|951.2|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|612044990.0|20.0|M/S|500.0|2010-03-02T00:00:00|2010-03-26T23:59:59|3C.E003..DHZ.M|2010-03-02|2010-03-27|2159999.0
3C|E004||DHZ|66.676903|13.8221|974.6|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|612044990.0|20.0|M/S|500.0|2010-03-04T00:00:00|2010-03-20T23:59:59|3C.E004..DHZ.M|2010-03-04|2010-03-21|1468799.0
3C|E005||DHZ|66.675797|13.8266|984.5|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|612044990.0|20.0|M/S|500.0|2010-03-04T00:00:00|2010-03-21T23:59:59|3C.E005..DHZ.M|2010-03-04|2010-03-22|1555199.0
3C|E006||DHZ|66.679001|13.8342|1019.1|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|612044990.0|20.0|M/S|500.0|2010-03-04T00:00:00|2010-03-22T23:59:59|3C.E006..DHZ.M|2010-03-04|2010-03-23|1641599.0
3C|E007||DHZ|66.6744|13.8287|986.9|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|612044990.0|20.0|M/S|500.0|2010-03-04T00:00:00|2010-03-21T23:59:59|3C.E007..DHZ.M|2010-03-04|2010-03-22|1555199.0
3C|E008||DHZ|66.675102|13.8401|1035.0|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|612044990.0|20.0|M/S|500.0|2010-03-04T00:00:00|2010-03-22T23:59:59|3C.E008..DHZ.M|2010-03-04|2010-03-23|1641599.0
3C|T001||CHZ|66.686302|13.7868|515.0|0.0|0.0|-90.0|Guralp CMG3T/Reftek 130 Datalogger|946587010.0|0.7|M/S|500.0|2010-03-09T00:00:00|2010-05-27T23:59:59|3C.T001..CHZ.M|2010-03-09|2010-05-28|6911999.0
3C|T001||CHZ|66.68609599999999|13.7869|513.0|0.0|0.0|-90.0|Guralp CMG3T/Reftek 130 Datalogger|946587010.0|0.7|M/S|500.0|2011-05-04T00:00:00|2011-05-23T23:59:59|3C.T001..CHZ.M|2011-05-04|2011-05-24|1727999.0
3C|T002||CHZ|66.68609599999999|13.7869|513.0|0.0|0.0|-90.0|Guralp CMG3T/Reftek 130 Datalogger|946587010.0|0.7|M/S|500.0|2011-05-04T00:00:00|2011-05-23T23:59:59|3C.T002..CHZ.M|2011-05-04|2011-05-24|1727999.0
3C|T003||CHZ|66.68609599999999|13.7869|513.0|0.0|0.0|-90.0|Guralp CMG3T/Reftek 130 Datalogger|946587010.0|0.7|M/S|500.0|2011-05-04T00:00:00|2011-05-23T23:59:59|3C.T003..CHZ.M|2011-05-04|2011-05-24|1727999.0
3C|T004||CHZ|66.68609599999999|13.7869|513.0|0.0|0.0|-90.0|Guralp CMG3T/Reftek 130 Datalogger|946587010.0|0.7|M/S|500.0|2011-05-04T00:00:00|2011-05-23T23:59:59|3C.T004..CHZ.M|2011-05-04|2011-05-24|1727999.0
